Experimental unit;Species;Sequence of harvest levels;Group
Gjerstad2_E_FG;forest grouse;20-10-0;1
Gjerstad1_E_FG;forest grouse;0-20-10;1
Sølvverket2_E_FG;forest grouse;10-0-20;1
Sølvverket1_E_FG;forest grouse;0-10-20;1
Finnemarka2_E_FG;forest grouse;10-20-0;1
Finnemarka1_E_FG;forest grouse;20-0-10;1
Varaldskogen1_E_FG;forest grouse;10-0-20;2
Varaldskogen2_Særkilampi_E_FG;forest grouse;0-20-10;2
Meitsjøen2_E_FG;forest grouse;10-20-0;2
Meitsjøen1_E_FG;forest grouse;20-10-0;2
Løten_E_FG;forest grouse;20-0-10;2
Gravberget6_E_FG;forest grouse;0-10-20;2
Gravberget5_E_FG;forest grouse;0-20-10;3
Gravberget4_E_FG;forest grouse;10-0-20;3
Gravberget3_E_FG;forest grouse;20-10-0;3
Gravberget2_E_FG;forest grouse;20-0-10;3
Gravberget1_E_FG;forest grouse;10-20-0;3
Ljørdalen_Drevja_E_FG;forest grouse;0-10-20;3
Rendalen1_E_FG;forest grouse;20-10-0;4
Rendalen3_E_FG;forest grouse;10-0-20;4
Rendalen2_E_FG;forest grouse;0-10-20;4
Orkland_E_FG;forest grouse;0-20-10;4
Malvik2_E_FG;forest grouse;20-0-10;4
Meråker_Dalavola_E_FG;forest grouse;10-20-0;4
Malvik1_E_FG;forest grouse;20-10-0;5
Bangdalen1_E_FG;forest grouse;10-20-0;5
Bangdalen2_E_FG;forest grouse;0-20-10;5
Namsskogan1_E_FG;forest grouse;10-0-20;5
Gran19_E_FG;forest grouse;20-0-10;5
Hemn3_E_FG;forest grouse;0-10-20;5
Njardarheim_E_WP;willow ptarmigan;0-30-15;1
Ljørdalen_Drevfjellet_E_WP;willow ptarmigan;30-0-15;1
Drivstua_Sør_E_WP;willow ptarmigan;15-30-0;1
Røros_Flensmarka_E_WP;willow ptarmigan;30-15-0;1
Drivstua_N_E_WP;willow ptarmigan;15-0-30;1
Røros_Vestre_E_WP;willow ptarmigan;0-15-30;1
Meråker3_E_WP;willow ptarmigan;15-30-0;2
Meråker2_E_WP;willow ptarmigan;15-0-30;2
Meråker1_E_WP;willow ptarmigan;0-15-30;2
Meråker6_E_WP;willow ptarmigan;0-30-15;2
Meråker5_E_WP;willow ptarmigan;30-15-0;2
Meråker4_E_WP;willow ptarmigan;30-0-15;2
Namsskogan2_E_WP;willow ptarmigan;15-0-30;3
Hatt4_E_WP;willow ptarmigan;0-30-15;3
Gran20_E_WP;willow ptarmigan;0-15-30;3
Hatt2_E_WP;willow ptarmigan;30-0-15;3
Hemn11_E_WP;willow ptarmigan;30-15-0;3
HemnKj_E_WP;willow ptarmigan;15-30-0;3
Ran3_E_WP;willow ptarmigan;30-15-0;4
Ran2_E_WP;willow ptarmigan;15-0-30;4
Ran9_E_WP;willow ptarmigan;0-15-30;4
Ran10_E_WP;willow ptarmigan;0-30-15;4
Salt3_E_WP;willow ptarmigan;30-0-15;4
Salt4_E_WP;willow ptarmigan;15-30-0;4
Salt2_E_WP;willow ptarmigan;0-30-15;5
Salt1_E_WP;willow ptarmigan;30-0-15;5
Salt5_E_WP;willow ptarmigan;15-0-30;5
Nordalen_E_WP;willow ptarmigan;15-30-0;5
Skånland_Øst_E_WP;willow ptarmigan;0-15-30;5
Altevatnet_E_WP;willow ptarmigan;30-15-0;5
Bangfjellet_Dividalen_E_WP;willow ptarmigan;0-15-30;6
Helligskogen_E_WP;willow ptarmigan;15-0-30;6
Senja_Svandalen_E_WP;willow ptarmigan;30-15-0;6
Reisavann_E_WP;willow ptarmigan;15-30-0;6
